"","year","country","total_games","wins","win_percentage","gdp","total_goals","goals_per_game"
"1",1992,"Denmark",5,3,60,"152966494259.538",6,1.2
"2",1992,"Netherlands",4,2,50,"363497050125.313",6,1.5
"3",1992,"Sweden",4,2,50,"283912173666.678",6,1.5
"4",1992,"Germany",5,2,40,"2141377582968.07",7,1.4
"5",1992,"Scotland",3,1,33.3333333333333,NA,3,1
"6",1992,"Commonwealth of Independent States",3,0,0,NA,1,0.333333333333333
"7",1992,"England",3,0,0,NA,1,0.333333333333333
"8",1992,"France",3,0,0,"1389663073110.28",2,0.666666666666667
"9",1996,"Germany",6,5,83.3333333333333,"2506576553158.31",9,1.5
"10",1996,"England",5,3,60,NA,8,1.6
"11",1996,"France",5,3,60,"1598889216566.23",5,1
"12",1996,"Croatia",4,2,50,"24150978346.5253",5,1.25
"13",1996,"Czechia",6,3,50,"67804105329.8557",7,1.16666666666667
"14",1996,"Portugal",4,2,50,"122630089680.27",5,1.25
"15",1996,"Bulgaria",3,1,33.3333333333333,"12294964837.6235",3,1
"16",1996,"Denmark",3,1,33.3333333333333,"187481157845.724",4,1.33333333333333
"17",1996,"Italy",3,1,33.3333333333333,"1314776508972.27",3,1
"18",1996,"Scotland",3,1,33.3333333333333,NA,1,0.333333333333333
"19",1996,"Netherlands",4,1,25,"451372549019.608",3,0.75
"20",1996,"Spain",4,1,25,"642251412058.321",4,1
"21",1996,"Romania",3,0,0,"36937074278.3004",1,0.333333333333333
"22",1996,"Russia",3,0,0,NA,4,1.33333333333333
"23",1996,"Switzerland",3,0,0,"340103959546.926",1,0.333333333333333
"24",1996,"Turkiye",3,0,0,"181464408820.097",0,0
"25",2000,"France",6,5,83.3333333333333,"1360959069477.49",11,1.83333333333333
"26",2000,"Italy",6,5,83.3333333333333,"1149661363439.38",9,1.5
"27",2000,"Netherlands",5,4,80,"417649282153.726",13,2.6
"28",2000,"Portugal",5,4,80,"118605192877.388",10,2
"29",2000,"Spain",4,2,50,"598102854756.08",7,1.75
"30",2000,"Belgium",3,1,33.3333333333333,"236792460312.471",2,0.666666666666667
"31",2000,"Czechia",3,1,33.3333333333333,"62175642238.0847",3,1
"32",2000,"England",3,1,33.3333333333333,NA,5,1.66666666666667
"33",2000,"Norway",3,1,33.3333333333333,"171457201935.968",1,0.333333333333333
"34",2000,"Romania",4,1,25,"37253739511.1273",4,1
"35",2000,"Turkiye",4,1,25,"274294623164.043",3,0.75
"36",2000,"Yugoslavia",4,1,25,NA,8,2
"37",2000,"Denmark",3,0,0,"164043817223.59",0,0
"38",2000,"Germany",3,0,0,"1966980701145.1",1,0.333333333333333
"39",2000,"Slovenia",3,0,0,"20159190701.6789",4,1.33333333333333
"40",2000,"Sweden",3,0,0,"262905197441.662",2,0.666666666666667
"41",2004,"Czechia",5,4,80,"120147899983.657",10,2
"42",2004,"Greece",6,4,66.6666666666667,"234979615898.225",6,1
"43",2004,"Portugal",6,4,66.6666666666667,"189382122532.169",7,1.16666666666667
"44",2004,"England",4,2,50,NA,9,2.25
"45",2004,"France",4,2,50,"2109792297237.03",7,1.75
"46",2004,"Netherlands",5,2,40,"661224886143.245",7,1.4
"47",2004,"Italy",3,1,33.3333333333333,"1812808753294.75",3,1
"48",2004,"Russia",3,1,33.3333333333333,NA,2,0.666666666666667
"49",2004,"Spain",3,1,33.3333333333333,"1069829382514.67",2,0.666666666666667
"50",2004,"Denmark",4,1,25,"251986155630.852",4,1
"51",2004,"Sweden",4,1,25,"384547211147.247",8,2
"52",2004,"Bulgaria",3,0,0,"26157743368.8716",1,0.333333333333333
"53",2004,"Croatia",3,0,0,"41836292157.3335",4,1.33333333333333
"54",2004,"Germany",3,0,0,"2852317768061.78",2,0.666666666666667
"55",2004,"Latvia",3,0,0,"13827070378.5612",1,0.333333333333333
"56",2004,"Switzerland",3,0,0,"403912891033.374",1,0.333333333333333
"57",2008,"Spain",6,6,100,"1636115447612.5",12,2
"58",2008,"Croatia",4,3,75,"68478776205.9826",4,1
"59",2008,"Netherlands",4,3,75,"957901566041.406",10,2.5
"60",2008,"Germany",6,4,66.6666666666667,"3808786022312.5",10,1.66666666666667
"61",2008,"Russia",5,3,60,NA,5,1
"62",2008,"Turkiye",5,3,60,"770449132861.373",7,1.4
"63",2008,"Portugal",4,2,50,"263416394624.084",7,1.75
"64",2008,"Czechia",3,1,33.3333333333333,"236506264753.95",4,1.33333333333333
"65",2008,"Sweden",3,1,33.3333333333333,"514616528348.834",3,1
"66",2008,"Switzerland",3,1,33.3333333333333,"567267767519.158",3,1
"67",2008,"Italy",4,1,25,"2417508414187.19",3,0.75
"68",2008,"Austria",3,0,0,"429234399096.173",1,0.333333333333333
"69",2008,"France",3,0,0,"2926802941585.86",1,0.333333333333333
"70",2008,"Greece",3,0,0,"351121399546.485",1,0.333333333333333
"71",2008,"Poland",3,0,0,"535612030671.888",1,0.333333333333333
"72",2008,"Romania",3,0,0,"214315932061.275",1,0.333333333333333
"73",2012,"Spain",6,5,83.3333333333333,"1330994811670.31",12,2
"74",2012,"Germany",5,4,80,"3597896500945.31",10,2
"75",2012,"Portugal",5,3,60,"216536676771.973",6,1.2
"76",2012,"Czechia",4,2,50,"210363223087.728",4,1
"77",2012,"England",4,2,50,NA,5,1.25
"78",2012,"Italy",6,3,50,"2097929495121.68",6,1
"79",2012,"Croatia",3,1,33.3333333333333,"57551963753.2104",4,1.33333333333333
"80",2012,"Denmark",3,1,33.3333333333333,"326792574244.963",4,1.33333333333333
"81",2012,"Russia",3,1,33.3333333333333,NA,5,1.66666666666667
"82",2012,"Sweden",3,1,33.3333333333333,"549742183874.355",5,1.66666666666667
"83",2012,"Ukraine",3,1,33.3333333333333,"182591753827.949",2,0.666666666666667
"84",2012,"France",4,1,25,"2683007095787.23",3,0.75
"85",2012,"Greece",4,1,25,"238841140018.233",5,1.25
"86",2012,"Netherlands",3,0,0,"845689017065.625",2,0.666666666666667
"87",2012,"Poland",3,0,0,"498148649702.66",2,0.666666666666667
"88",2012,"Republic of Ireland",3,0,0,NA,1,0.333333333333333
"89",2016,"France",7,5,71.4285714285714,"2470407619777.13",13,1.85714285714286
"90",2016,"Germany",6,4,66.6666666666667,"3537784107980.55",7,1.16666666666667
"91",2016,"Wales",6,4,66.6666666666667,NA,10,1.66666666666667
"92",2016,"Belgium",5,3,60,"474271566739.729",9,1.8
"93",2016,"Italy",5,3,60,"1887111188176.93",6,1.2
"94",2016,"Poland",5,3,60,"473259583969.643",4,0.8
"95",2016,"Portugal",7,4,57.1428571428571,"206305431241.638",7,1
"96",2016,"Croatia",4,2,50,"52654855638.1057",5,1.25
"97",2016,"Spain",4,2,50,"1243015667917.12",5,1.25
"98",2016,"Iceland",5,2,40,"20793168030.9524",8,1.6
"99",2016,"Albania",3,1,33.3333333333333,"11861199830.8396",1,0.333333333333333
"100",2016,"Turkiye",3,1,33.3333333333333,"869682881593.041",2,0.666666666666667
"101",2016,"England",4,1,25,NA,4,1
"102",2016,"Hungary",4,1,25,"128609822750.039",6,1.5
"103",2016,"Northern Ireland",4,1,25,NA,2,0.5
"104",2016,"Republic of Ireland",4,1,25,NA,3,0.75
"105",2016,"Slovakia",4,1,25,NA,3,0.75
"106",2016,"Switzerland",4,1,25,"687895460902.713",3,0.75
"107",2016,"Austria",3,0,0,"393687359770.273",1,0.333333333333333
"108",2016,"Czechia",3,0,0,"198160659303.939",2,0.666666666666667
"109",2016,"Romania",3,0,0,"185290759248.844",2,0.666666666666667
"110",2016,"Russia",3,0,0,NA,2,0.666666666666667
"111",2016,"Sweden",3,0,0,"514218206628.325",1,0.333333333333333
"112",2016,"Ukraine",3,0,0,"93355869403.9223",0,0
"113",2020,"Italy",7,7,100,"1907481094079.23",11,1.57142857142857
"114",2020,"Belgium",5,4,80,"529694473501.791",9,1.8
"115",2020,"Netherlands",4,3,75,"932560861701.17",8,2
"116",2020,"England",7,5,71.4285714285714,NA,10,1.42857142857143
"117",2020,"Austria",4,2,50,"434397601557.696",4,1
"118",2020,"Denmark",6,3,50,"355631021931.621",12,2
"119",2020,"Spain",6,3,50,"1289783836971.21",11,1.83333333333333
"120",2020,"Sweden",4,2,50,"545147614972.141",5,1.25
"121",2020,"Czechia",5,2,40,"251109660602.536",6,1.2
"122",2020,"Switzerland",5,2,40,"741999406005.627",8,1.6
"123",2020,"Ukraine",5,2,40,"156617722013.342",5,1
"124",2020,"Finland",3,1,33.3333333333333,"270000311606.226",1,0.333333333333333
"125",2020,"Russia",3,1,33.3333333333333,NA,2,0.666666666666667
"126",2020,"Slovakia",3,1,33.3333333333333,NA,2,0.666666666666667
"127",2020,"Croatia",4,1,25,"57963370885.0798",7,1.75
"128",2020,"France",4,1,25,"2647926055110.05",7,1.75
"129",2020,"Germany",4,1,25,"3940142541354.1",6,1.5
"130",2020,"Portugal",4,1,25,"229618773422.577",7,1.75
"131",2020,"Wales",4,1,25,NA,3,0.75
"132",2020,"Hungary",3,0,0,"157288955508.176",3,1
"133",2020,"North Macedonia",3,0,0,"12361036913.8409",2,0.666666666666667
"134",2020,"Poland",3,0,0,"605914237903.742",4,1.33333333333333
"135",2020,"Scotland",3,0,0,NA,1,0.333333333333333
"136",2020,"Turkiye",3,0,0,"720338490327.248",1,0.333333333333333
