"","year","country","total_games","wins","win_percentage","gdp","total_goals","goals_per_game"
"1",1992,"Yugoslavia",8,7,87.5,NA,24,3
"2",1992,"France",11,8,72.7272727272727,"1389663073110.28",22,2
"3",1992,"Denmark",13,9,69.2307692307692,"152966494259.538",24,1.84615384615385
"4",1992,"Netherlands",12,8,66.6666666666667,"363497050125.313",23,1.91666666666667
"5",1992,"Wales",6,4,66.6666666666667,NA,8,1.33333333333333
"6",1992,"Germany",11,7,63.6363636363636,"2141377582968.07",20,1.81818181818182
"7",1992,"Czechoslovakia",8,5,62.5,NA,12,1.5
"8",1992,"Portugal",8,5,62.5,"107592098307.098",11,1.375
"9",1992,"USSR",8,5,62.5,NA,13,1.625
"10",1992,"Romania",8,4,50,"25121666666.6667",13,1.625
"11",1992,"Spain",8,4,50,"630465353486.104",20,2.5
"12",1992,"Sweden",4,2,50,"283912173666.678",6,1.5
"13",1992,"Switzerland",8,4,50,"279921425828.474",19,2.375
"14",1992,"Scotland",11,5,45.4545454545455,NA,17,1.54545454545455
"15",1992,"Bulgaria",8,3,37.5,"10350515463.9175",15,1.875
"16",1992,"Greece",8,3,37.5,"114608178405.434",11,1.375
"17",1992,"Italy",8,3,37.5,"1323204350353.5",12,1.5
"18",1992,"Norway",8,3,37.5,"130838040067.584",9,1.125
"19",1992,"Belgium",6,2,33.3333333333333,"234781652446.675",7,1.16666666666667
"20",1992,"England",9,3,33.3333333333333,NA,8,0.888888888888889
"21",1992,"Poland",6,2,33.3333333333333,"94337050693.2727",8,1.33333333333333
"22",1992,"Republic of Ireland",6,2,33.3333333333333,NA,13,2.16666666666667
"23",1992,"Hungary",8,2,25,"38730585922.2189",10,1.25
"24",1992,"Iceland",8,2,25,"7080981738.05606",7,0.875
"25",1992,"Northern Ireland",8,2,25,NA,11,1.375
"26",1992,"Albania",8,1,12.5,"652174990.837304",2,0.25
"27",1992,"Austria",8,1,12.5,"194314032056.098",6,0.75
"28",1992,"Faroe Islands",8,1,12.5,"912670413.325883",3,0.375
"29",1992,"Finland",8,1,12.5,"112537828510.751",5,0.625
"30",1992,"Commonwealth of Independent States",3,0,0,NA,1,0.333333333333333
"31",1992,"Cyprus",8,0,0,"6912150456.32334",2,0.25
"32",1992,"Luxembourg",6,0,0,"15518702634.8808",2,0.333333333333333
"33",1992,"Malta",8,0,0,"3021944675.40788",2,0.25
"34",1992,"San Marino",8,0,0,"..",1,0.125
"35",1992,"Türki̇ye",6,0,0,NA,1,0.166666666666667
"36",1996,"Germany",16,13,81.25,"2506576553158.31",36,2.25
"37",1996,"Croatia",14,9,64.2857142857143,"24150978346.5253",27,1.92857142857143
"38",1996,"Portugal",14,9,64.2857142857143,"122630089680.27",34,2.42857142857143
"39",1996,"Spain",14,9,64.2857142857143,"642251412058.321",29,2.07142857142857
"40",1996,"Bulgaria",13,8,61.5384615384615,"12294964837.6235",27,2.07692307692308
"41",1996,"Italy",13,8,61.5384615384615,"1314776508972.27",23,1.76923076923077
"42",1996,"Russia",13,8,61.5384615384615,NA,38,2.92307692307692
"43",1996,"Scotland",13,8,61.5384615384615,NA,20,1.53846153846154
"44",1996,"England",5,3,60,NA,8,1.6
"45",1996,"Greece",10,6,60,"142502984144.96",23,2.3
"46",1996,"Norway",10,6,60,"163520109150.671",17,1.7
"47",1996,"Czechia",16,9,56.25,"67804105329.8557",28,1.75
"48",1996,"Denmark",13,7,53.8461538461538,"187481157845.724",23,1.76923076923077
"49",1996,"France",15,8,53.3333333333333,"1598889216566.23",27,1.8
"50",1996,"Netherlands",15,8,53.3333333333333,"451372549019.608",28,1.86666666666667
"51",1996,"Austria",10,5,50,"235952581232.129",29,2.9
"52",1996,"Finland",10,5,50,"131991975148.848",18,1.8
"53",1996,"Georgia",10,5,50,"3094935186.76896",14,1.4
"54",1996,"Lithuania",10,5,50,"8430207164.43677",13,1.3
"55",1996,"Northern Ireland",10,5,50,NA,20,2
"56",1996,"Türki̇ye",8,4,50,NA,16,2
"57",1996,"Romania",13,6,46.1538461538462,"36937074278.3004",19,1.46153846153846
"58",1996,"Republic of Ireland",11,5,45.4545454545455,NA,17,1.54545454545455
"59",1996,"Switzerland",11,5,45.4545454545455,"340103959546.926",16,1.45454545454545
"60",1996,"Belgium",10,4,40,"279201433224.756",17,1.7
"61",1996,"Latvia",10,4,40,"5799465288.41246",11,1.1
"62",1996,"Slovakia",10,4,40,NA,14,1.4
"63",1996,"Ukraine",10,4,40,"44558831005.0621",11,1.1
"64",1996,"Belarus",10,3,30,"14756846153.8462",8,0.8
"65",1996,"Israel",10,3,30,"114866706144.061",13,1.3
"66",1996,"Luxembourg",10,3,30,"20895314657.9805",3,0.3
"67",1996,"Moldova",10,3,30,"1695122173.91304",11,1.1
"68",1996,"Poland",10,3,30,"160813026223.063",14,1.4
"69",1996,"Slovenia",10,3,30,"21470699362.6062",13,1.3
"70",1996,"Hungary",8,2,25,"46658755151.6017",7,0.875
"71",1996,"Sweden",8,2,25,"291952430659.111",9,1.125
"72",1996,"Albania",10,2,20,"3199640815.4163",10,1
"73",1996,"Faroe Islands",10,2,20,"989536914.659081",10,1
"74",1996,"Wales",10,2,20,NA,9,0.9
"75",1996,"Iceland",8,1,12.5,"7426082270.67669",3,0.375
"76",1996,"Armenia",10,1,10,"1596968946.23708",5,0.5
"77",1996,"Cyprus",10,1,10,"10011914680.0502",6,0.6
"78",1996,"FYR Macedonia",10,1,10,NA,9,0.9
"79",1996,"Azerbaijan",10,0,0,"3176507376.31836",2,0.2
"80",1996,"Estonia",10,0,0,"4786018988.16491",3,0.3
"81",1996,"Liechtenstein",10,0,0,"2504012993.42238",1,0.1
"82",1996,"Malta",10,0,0,"3822488329.48903",2,0.2
"83",1996,"San Marino",10,0,0,"..",2,0.2
"84",1996,"Turkiye",3,0,0,"181464408820.097",0,0
"85",2000,"Czechia",13,11,84.6153846153846,"62175642238.0847",29,2.23076923076923
"86",2000,"Netherlands",5,4,80,"417649282153.726",13,2.6
"87",2000,"Spain",12,9,75,"598102854756.08",49,4.08333333333333
"88",2000,"Portugal",15,11,73.3333333333333,"118605192877.388",42,2.8
"89",2000,"Norway",13,9,69.2307692307692,"171457201935.968",22,1.69230769230769
"90",2000,"France",16,11,68.75,"1360959069477.49",28,1.75
"91",2000,"Italy",14,9,64.2857142857143,"1149661363439.38",22,1.57142857142857
"92",2000,"Sweden",11,7,63.6363636363636,"262905197441.662",12,1.09090909090909
"93",2000,"Russia",10,6,60,NA,22,2.2
"94",2000,"Romania",14,8,57.1428571428571,"37253739511.1273",29,2.07142857142857
"95",2000,"Germany",11,6,54.5454545454545,"1966980701145.1",21,1.90909090909091
"96",2000,"Austria",8,4,50,"196181599831.287",19,2.375
"97",2000,"Croatia",8,4,50,"22134411297.473",13,1.625
"98",2000,"Cyprus",8,4,50,"9985847313.85485",12,1.5
"99",2000,"Poland",8,4,50,"172953527033.013",12,1.5
"100",2000,"Republic of Ireland",10,5,50,NA,15,1.5
"101",2000,"Scotland",12,6,50,NA,16,1.33333333333333
"102",2000,"Slovakia",10,5,50,NA,12,1.2
"103",2000,"Switzerland",8,4,50,"279216033870.204",9,1.125
"104",2000,"Türki̇ye",10,5,50,NA,16,1.6
"105",2000,"Yugoslavia",12,6,50,NA,26,2.16666666666667
"106",2000,"Denmark",13,6,46.1538461538462,"164043817223.59",19,1.46153846153846
"107",2000,"Ukraine",12,5,41.6666666666667,"32375083934.8241",16,1.33333333333333
"108",2000,"Greece",10,4,40,"125760166224.805",13,1.3
"109",2000,"Iceland",10,4,40,"9025660361.75842",12,1.2
"110",2000,"Israel",10,4,40,"136225025139.185",25,2.5
"111",2000,"Slovenia",15,6,40,"20159190701.6789",19,1.26666666666667
"112",2000,"England",13,5,38.4615384615385,NA,21,1.61538461538462
"113",2000,"Finland",8,3,37.5,"125967821110.589",13,1.625
"114",2000,"Wales",8,3,37.5,NA,7,0.875
"115",2000,"Belgium",3,1,33.3333333333333,"236792460312.471",2,0.666666666666667
"116",2000,"Bosnia and Herzegovina",10,3,30,"5567772768.81188",14,1.4
"117",2000,"Estonia",10,3,30,"5686579747.53524",15,1.5
"118",2000,"Hungary",10,3,30,"47218405892.4258",14,1.4
"119",2000,"Latvia",10,3,30,"7761252607.18424",13,1.3
"120",2000,"Lithuania",10,3,30,"11550695727.2335",8,0.8
"121",2000,"Bulgaria",8,2,25,"13245990274.4581",6,0.75
"122",2000,"FYR Macedonia",8,2,25,NA,12,1.5
"123",2000,"Turkiye",4,1,25,"274294623164.043",3,0.75
"124",2000,"Armenia",10,2,20,"1911563668.85006",8,0.8
"125",2000,"Northern Ireland",8,1,12.5,NA,4,0.5
"126",2000,"Albania",10,1,10,"3480355258.04122",8,0.8
"127",2000,"Azerbaijan",10,1,10,"5272615722.96892",6,0.6
"128",2000,"Georgia",10,1,10,"3057475335.18846",8,0.8
"129",2000,"Liechtenstein",10,1,10,"2483889858.32312",2,0.2
"130",2000,"Andorra",10,0,0,"1432606188.69324",3,0.3
"131",2000,"Belarus",8,0,0,"12736780455.1539",4,0.5
"132",2000,"Faroe Islands",10,0,0,"1067109530.64798",4,0.4
"133",2000,"Luxembourg",8,0,0,"21230182989.3036",2,0.25
"134",2000,"Malta",8,0,0,"4036810072.08739",6,0.75
"135",2000,"Moldova",8,0,0,"1288429391.79951",7,0.875
"136",2000,"San Marino",8,0,0,"1007661366.66959",1,0.125
"137",2004,"Czechia",13,11,84.6153846153846,"120147899983.657",33,2.53846153846154
"138",2004,"France",12,10,83.3333333333333,"2109792297237.03",36,3
"139",2004,"Greece",14,10,71.4285714285714,"234979615898.225",14,1
"140",2004,"England",12,8,66.6666666666667,NA,23,1.91666666666667
"141",2004,"Portugal",6,4,66.6666666666667,"189382122532.169",7,1.16666666666667
"142",2004,"Belgium",8,5,62.5,"369214712443.206",11,1.375
"143",2004,"Spain",13,8,61.5384615384615,"1069829382514.67",23,1.76923076923077
"144",2004,"Netherlands",15,9,60,"661224886143.245",33,2.2
"145",2004,"Türki̇ye",10,6,60,NA,19,1.9
"146",2004,"Italy",11,6,54.5454545454545,"1812808753294.75",20,1.81818181818182
"147",2004,"Bosnia and Herzegovina",8,4,50,"10156541538.399",7,0.875
"148",2004,"Iceland",8,4,50,"13825302535.7699",11,1.375
"149",2004,"Poland",8,4,50,"256268656145.134",11,1.375
"150",2004,"Romania",8,4,50,"74973656851.8076",21,2.625
"151",2004,"Scotland",10,5,50,NA,13,1.3
"152",2004,"Sweden",12,6,50,"384547211147.247",27,2.25
"153",2004,"Yugoslavia",2,1,50,NA,3,1.5
"154",2004,"Croatia",13,6,46.1538461538462,"41836292157.3335",18,1.38461538461538
"155",2004,"Latvia",13,6,46.1538461538462,"13827070378.5612",14,1.07692307692308
"156",2004,"Bulgaria",11,5,45.4545454545455,"26157743368.8716",14,1.27272727272727
"157",2004,"Germany",11,5,45.4545454545455,"2852317768061.78",15,1.36363636363636
"158",2004,"Russia",14,6,42.8571428571429,NA,22,1.57142857142857
"159",2004,"Denmark",12,5,41.6666666666667,"251986155630.852",19,1.58333333333333
"160",2004,"Norway",10,4,40,"265268662473.297",10,1
"161",2004,"Slovenia",10,4,40,"34156553313.4031",16,1.6
"162",2004,"Wales",10,4,40,NA,13,1.3
"163",2004,"Austria",8,3,37.5,"299210411454.823",12,1.5
"164",2004,"Finland",8,3,37.5,"197458297639.769",9,1.125
"165",2004,"Hungary",8,3,37.5,"104120820258.669",15,1.875
"166",2004,"Lithuania",8,3,37.5,"22743164431.1972",7,0.875
"167",2004,"Republic of Ireland",8,3,37.5,NA,10,1.25
"168",2004,"Slovakia",8,3,37.5,NA,11,1.375
"169",2004,"Switzerland",11,4,36.3636363636364,"403912891033.374",16,1.45454545454545
"170",2004,"Serbia and Montenegro",6,2,33.3333333333333,NA,8,1.33333333333333
"171",2004,"Albania",8,2,25,"7184685781.51876",11,1.375
"172",2004,"Armenia",8,2,25,"3576615240.41616",7,0.875
"173",2004,"Cyprus",8,2,25,"17320551250",9,1.125
"174",2004,"Estonia",8,2,25,"12148595031.0559",4,0.5
"175",2004,"Israel",8,2,25,"139899274431.058",9,1.125
"176",2004,"Moldova",8,2,25,"2598249555.89984",5,0.625
"177",2004,"Ukraine",8,2,25,"67220154164.3166",11,1.375
"178",2004,"Georgia",9,2,22.2222222222222,"5125365191.98664",8,0.888888888888889
"179",2004,"Azerbaijan",8,1,12.5,"8680405740.94125",5,0.625
"180",2004,"Belarus",8,1,12.5,"23141566292.9462",4,0.5
"181",2004,"FYR Macedonia",8,1,12.5,NA,11,1.375
"182",2004,"Andorra",8,0,0,"2900245324.49221",1,0.125
"183",2004,"Faroe Islands",8,0,0,"1724770770.83393",7,0.875
"184",2004,"Liechtenstein",8,0,0,"3454373797.74442",2,0.25
"185",2004,"Luxembourg",8,0,0,"35064843792.8993",0,0
"186",2004,"Malta",8,0,0,"6104139672.8194",5,0.625
"187",2004,"Northern Ireland",8,0,0,NA,0,0
"188",2004,"San Marino",8,0,0,"1715340542.988",0,0
"189",2008,"Spain",18,15,83.3333333333333,"1636115447612.5",35,1.94444444444444
"190",2008,"Croatia",16,12,75,"68478776205.9826",32,2
"191",2008,"Netherlands",16,11,68.75,"957901566041.406",25,1.5625
"192",2008,"Czechia",15,10,66.6666666666667,"236506264753.95",31,2.06666666666667
"193",2008,"Germany",18,12,66.6666666666667,"3808786022312.5",45,2.5
"194",2008,"Greece",15,10,66.6666666666667,"351121399546.485",26,1.73333333333333
"195",2008,"Scotland",12,8,66.6666666666667,NA,21,1.75
"196",2008,"Italy",16,10,62.5,"2417508414187.19",25,1.5625
"197",2008,"Romania",15,9,60,"214315932061.275",27,1.8
"198",2008,"Sweden",15,9,60,"514616528348.834",26,1.73333333333333
"199",2008,"Turkiye",5,3,60,"770449132861.373",7,1.4
