"","year","country","total_games","wins","win_percentage","gdp_per_capita","total_goals","goals_per_game"
"1",1992,"Yugoslavia",8,7,87.5,NA,24,3
"2",1992,"France",11,8,72.7272727272727,"18790.1971604022",22,2
"3",1992,"Denmark",13,9,69.2307692307692,"19817.8687077928",24,1.84615384615385
"4",1992,"Netherlands",12,8,66.6666666666667,"20816.9375757306",23,1.91666666666667
"5",1992,"Wales",6,4,66.6666666666667,NA,8,1.33333333333333
"6",1992,"Germany",11,7,63.6363636363636,"21806.2098717814",20,1.81818181818182
"7",1992,"Czechoslovakia",8,5,62.5,NA,12,1.5
"8",1992,"Portugal",8,5,62.5,"13173.1686284431",11,1.375
"9",1992,"USSR",8,5,62.5,NA,13,1.625
"10",1992,"Romania",8,4,50,"4511.99263987031",13,1.625
"11",1992,"Spain",8,4,50,"14845.3959204571",20,2.5
"12",1992,"Sweden",4,2,50,"20792.1041275876",6,1.5
"13",1992,"Switzerland",8,4,50,"29093.3238541076",19,2.375
"14",1992,"Scotland",11,5,45.4545454545455,NA,17,1.54545454545455
"15",1992,"Bulgaria",8,3,37.5,"6914.71725327388",15,1.875
"16",1992,"Greece",8,3,37.5,"14120.1828556758",11,1.375
"17",1992,"Italy",8,3,37.5,"20182.1740049695",12,1.5
"18",1992,"Norway",8,3,37.5,"20609.240678169",9,1.125
"19",1992,"Belgium",6,2,33.3333333333333,"20258.5474461442",7,1.16666666666667
"20",1992,"England",9,3,33.3333333333333,NA,8,0.888888888888889
"21",1992,"Poland",6,2,33.3333333333333,"6188.8911984364",8,1.33333333333333
"22",1992,"Republic of Ireland",6,2,33.3333333333333,NA,13,2.16666666666667
"23",1992,"Hungary",8,2,25,"8251.71946641356",10,1.25
"24",1992,"Iceland",8,2,25,"21862.5015775992",7,0.875
"25",1992,"Northern Ireland",8,2,25,NA,11,1.375
"26",1992,"Albania",8,1,12.5,"1823.15280841998",2,0.25
"27",1992,"Austria",8,1,12.5,"21194.7573972524",6,0.75
"28",1992,"Faroe Islands",8,1,12.5,"..",3,0.375
"29",1992,"Finland",8,1,12.5,"17259.5607042457",5,0.625
"30",1992,"Commonwealth of Independent States",3,0,0,NA,1,0.333333333333333
"31",1992,"Cyprus",8,0,0,"14749.6064453125",2,0.25
"32",1992,"Luxembourg",6,0,0,"34085.8238280804",2,0.333333333333333
"33",1992,"Malta",8,0,0,"11421.235828463",2,0.25
"34",1992,"San Marino",8,0,0,"..",1,0.125
"35",1992,"Türki̇ye",6,0,0,NA,1,0.166666666666667
"36",1996,"Germany",16,13,81.25,"24160.0668021179",36,2.25
"37",1996,"Croatia",14,9,64.2857142857143,"8802.37929569409",27,1.92857142857143
"38",1996,"Portugal",14,9,64.2857142857143,"14916.4448326258",34,2.42857142857143
"39",1996,"Spain",14,9,64.2857142857143,"16964.935227861",29,2.07142857142857
"40",1996,"Bulgaria",13,8,61.5384615384615,"6846.47056889757",27,2.07692307692308
"41",1996,"Italy",13,8,61.5384615384615,"23092.1885693553",23,1.76923076923077
"42",1996,"Russia",13,8,61.5384615384615,NA,38,2.92307692307692
"43",1996,"Scotland",13,8,61.5384615384615,NA,20,1.53846153846154
"44",1996,"England",5,3,60,NA,8,1.6
"45",1996,"Greece",10,6,60,"15772.527083031",23,2.3
"46",1996,"Norway",10,6,60,"26816.3138408281",17,1.7
"47",1996,"Czechia",16,9,56.25,"14775.324305044",28,1.75
"48",1996,"Denmark",13,7,53.8461538461538,"23713.9451875255",23,1.76923076923077
"49",1996,"France",15,8,53.3333333333333,"21260.5582126092",27,1.8
"50",1996,"Netherlands",15,8,53.3333333333333,"24554.9497106893",28,1.86666666666667
"51",1996,"Austria",10,5,50,"24417.66429689",29,2.9
"52",1996,"Finland",10,5,50,"20059.9888072214",18,1.8
"53",1996,"Georgia",10,5,50,"2253.09523343784",14,1.4
"54",1996,"Lithuania",10,5,50,"6419.64886544699",13,1.3
"55",1996,"Northern Ireland",10,5,50,NA,20,2
"56",1996,"Türki̇ye",8,4,50,NA,16,2
"57",1996,"Romania",13,6,46.1538461538462,"5743.53066478701",19,1.46153846153846
"58",1996,"Republic of Ireland",11,5,45.4545454545455,NA,17,1.54545454545455
"59",1996,"Switzerland",11,5,45.4545454545455,"31497.7419568964",16,1.45454545454545
"60",1996,"Belgium",10,4,40,"22736.7580685985",17,1.7
"61",1996,"Latvia",10,4,40,"5636.06723003593",11,1.1
"62",1996,"Slovakia",10,4,40,NA,14,1.4
"63",1996,"Ukraine",10,4,40,"3812.24560546875",11,1.1
"64",1996,"Belarus",10,3,30,"4039.34042410284",8,0.8
"65",1996,"Israel",10,3,30,"21606.1732737459",13,1.3
"66",1996,"Luxembourg",10,3,30,"39707.461526777",3,0.3
"67",1996,"Moldova",10,3,30,"3021.30988328912",11,1.1
"68",1996,"Poland",10,3,30,"8307.20567234064",14,1.4
"69",1996,"Slovenia",10,3,30,"14279.0210291904",13,1.3
"70",1996,"Hungary",8,2,25,"9349.01376457259",7,0.875
"71",1996,"Sweden",8,2,25,"23942.848428223",9,1.125
"72",1996,"Albania",10,2,20,"2979.8263588434",10,1
"73",1996,"Faroe Islands",10,2,20,"..",10,1
"74",1996,"Wales",10,2,20,NA,9,0.9
"75",1996,"Iceland",8,1,12.5,"24767.0742830061",3,0.375
"76",1996,"Armenia",10,1,10,"1921.54998906893",5,0.5
"77",1996,"Cyprus",10,1,10,"17313.609375",6,0.6
"78",1996,"FYR Macedonia",10,1,10,NA,9,0.9
"79",1996,"Azerbaijan",10,0,0,"2366.83980939422",2,0.2
"80",1996,"Estonia",10,0,0,"6889.29880886621",3,0.3
"81",1996,"Liechtenstein",10,0,0,"..",1,0.1
"82",1996,"Malta",10,0,0,"14655.4079936788",2,0.2
"83",1996,"San Marino",10,0,0,"..",2,0.2
"84",1996,"Turkiye",3,0,0,"10675.6712413931",0,0
"85",2000,"Czechia",13,11,84.6153846153846,"16328.7979234395",29,2.23076923076923
"86",2000,"Netherlands",5,4,80,"31887.8534610687",13,2.6
"87",2000,"Spain",12,9,75,"21577.59731368",49,4.08333333333333
"88",2000,"Portugal",15,11,73.3333333333333,"18879.0582089447",42,2.8
"89",2000,"Norway",13,9,69.2307692307692,"36986.4941984639",22,1.69230769230769
"90",2000,"France",16,11,68.75,"26001.8796983416",28,1.75
"91",2000,"Italy",14,9,64.2857142857143,"27146.321184003",22,1.57142857142857
"92",2000,"Sweden",11,7,63.6363636363636,"29629.8986478258",12,1.09090909090909
"93",2000,"Russia",10,6,60,NA,22,2.2
"94",2000,"Romania",14,8,57.1428571428571,"5848.84514760675",29,2.07142857142857
"95",2000,"Germany",11,6,54.5454545454545,"27467.7824174767",21,1.90909090909091
"96",2000,"Austria",8,4,50,"29214.7386484813",19,2.375
"97",2000,"Croatia",8,4,50,"10672.2697995299",13,1.625
"98",2000,"Cyprus",8,4,50,"21291.267578125",12,1.5
"99",2000,"Poland",8,4,50,"10718.9105404255",12,1.5
"100",2000,"Republic of Ireland",10,5,50,NA,15,1.5
"101",2000,"Scotland",12,6,50,NA,16,1.33333333333333
"102",2000,"Slovakia",10,5,50,NA,12,1.2
"103",2000,"Switzerland",8,4,50,"36695.2070554187",9,1.125
"104",2000,"Türki̇ye",10,5,50,NA,16,1.6
"105",2000,"Yugoslavia",12,6,50,NA,26,2.16666666666667
"106",2000,"Denmark",13,6,46.1538461538462,"28641.6990434156",19,1.46153846153846
"107",2000,"Ukraine",12,5,41.6666666666667,"4228.1162109375",16,1.33333333333333
"108",2000,"Greece",10,4,40,"18815.8357857409",13,1.3
"109",2000,"Iceland",10,4,40,"29782.8738104215",12,1.2
"110",2000,"Israel",10,4,40,"25728.9155516736",25,2.5
"111",2000,"Slovenia",15,6,40,"17887.7797417869",19,1.26666666666667
"112",2000,"England",13,5,38.4615384615385,NA,21,1.61538461538462
"113",2000,"Finland",8,3,37.5,"26777.1143421587",13,1.625
"114",2000,"Wales",8,3,37.5,NA,7,0.875
"115",2000,"Belgium",3,1,33.3333333333333,"27788.0908832256",2,0.666666666666667
"116",2000,"Bosnia and Herzegovina",10,3,30,"4147.04145592197",14,1.4
"117",2000,"Estonia",10,3,30,"9422.49706491914",15,1.5
"118",2000,"Hungary",10,3,30,"11854.683416267",14,1.4
"119",2000,"Latvia",10,3,30,"7840.88147857358",13,1.3
"120",2000,"Lithuania",10,3,30,"8465.92455220949",8,0.8
"121",2000,"Bulgaria",8,2,25,"6422.79933249027",6,0.75
"122",2000,"FYR Macedonia",8,2,25,NA,12,1.5
"123",2000,"Turkiye",4,1,25,"9308.41965620447",3,0.75
"124",2000,"Armenia",10,2,20,"2530.74394657588",8,0.8
"125",2000,"Northern Ireland",8,1,12.5,NA,4,0.5
"126",2000,"Albania",10,1,10,"3861.30856837761",8,0.8
"127",2000,"Azerbaijan",10,1,10,"3382.08308668081",6,0.6
"128",2000,"Georgia",10,1,10,"3161.1958249061",8,0.8
"129",2000,"Liechtenstein",10,1,10,"..",2,0.2
"130",2000,"Andorra",10,0,0,"33458.1181631977",3,0.3
"131",2000,"Belarus",8,0,0,"5795.65224182629",4,0.5
"132",2000,"Faroe Islands",10,0,0,"..",4,0.4
"133",2000,"Luxembourg",8,0,0,"55124.2922512694",2,0.25
"134",2000,"Malta",8,0,0,"18210.6184846761",6,0.75
"135",2000,"Moldova",8,0,0,"3044.67050577829",7,0.875
"136",2000,"San Marino",8,0,0,"53713.4483345552",1,0.125
"137",2004,"Czechia",13,11,84.6153846153846,"20990.9328225987",33,2.53846153846154
"138",2004,"France",12,10,83.3333333333333,"28925.1268683664",36,3
"139",2004,"Greece",14,10,71.4285714285714,"24828.8979383295",14,1
"140",2004,"England",12,8,66.6666666666667,NA,23,1.91666666666667
"141",2004,"Portugal",6,4,66.6666666666667,"21478.4297345147",7,1.16666666666667
"142",2004,"Belgium",8,5,62.5,"32063.9826949865",11,1.375
"143",2004,"Spain",13,8,61.5384615384615,"26163.3046245452",23,1.76923076923077
"144",2004,"Netherlands",15,9,60,"35965.5468021136",33,2.2
"145",2004,"Türki̇ye",10,6,60,NA,19,1.9
"146",2004,"Italy",11,6,54.5454545454545,"29658.0664866674",20,1.81818181818182
"147",2004,"Bosnia and Herzegovina",8,4,50,"5408.092685845",7,0.875
"148",2004,"Iceland",8,4,50,"35617.2135979676",11,1.375
"149",2004,"Poland",8,4,50,"13414.8573934429",11,1.375
"150",2004,"Romania",8,4,50,"8990.43021126928",21,2.625
"151",2004,"Scotland",10,5,50,NA,13,1.3
"152",2004,"Sweden",12,6,50,"33809.3854968014",27,2.25
"153",2004,"Yugoslavia",2,1,50,NA,3,1.5
"154",2004,"Croatia",13,6,46.1538461538462,"14687.9187727985",18,1.38461538461538
"155",2004,"Latvia",13,6,46.1538461538462,"11761.314151214",14,1.07692307692308
"156",2004,"Bulgaria",11,5,45.4545454545455,"9201.6253316936",14,1.27272727272727
"157",2004,"Germany",11,5,45.4545454545455,"31757.4177276181",15,1.36363636363636
"158",2004,"Russia",14,6,42.8571428571429,NA,22,1.57142857142857
"159",2004,"Denmark",12,5,41.6666666666667,"33019.9772946564",19,1.58333333333333
"160",2004,"Norway",10,4,40,"42672.9375348936",10,1
"161",2004,"Slovenia",10,4,40,"22590.7921299544",16,1.6
"162",2004,"Wales",10,4,40,NA,13,1.3
"163",2004,"Austria",8,3,37.5,"33523.0204968283",12,1.5
"164",2004,"Finland",8,3,37.5,"31199.2914503448",9,1.125
"165",2004,"Hungary",8,3,37.5,"16269.308764051",15,1.875
"166",2004,"Lithuania",8,3,37.5,"13097.4375662948",7,0.875
"167",2004,"Republic of Ireland",8,3,37.5,NA,10,1.25
"168",2004,"Slovakia",8,3,37.5,NA,11,1.375
"169",2004,"Switzerland",11,4,36.3636363636364,"40176.5707415374",16,1.45454545454545
"170",2004,"Serbia and Montenegro",6,2,33.3333333333333,NA,8,1.33333333333333
"171",2004,"Albania",8,2,25,"5427.79655580022",11,1.375
"172",2004,"Armenia",8,2,25,"4377.22759688046",7,0.875
"173",2004,"Cyprus",8,2,25,"25945.19921875",9,1.125
"174",2004,"Estonia",8,2,25,"14539.9710841117",4,0.5
"175",2004,"Israel",8,2,25,"26043.3668145719",9,1.125
"176",2004,"Moldova",8,2,25,"4378.17475787963",5,0.625
"177",2004,"Ukraine",8,2,25,"6663.46728515625",11,1.375
"178",2004,"Georgia",9,2,22.2222222222222,"4634.77757600295",8,0.888888888888889
"179",2004,"Azerbaijan",8,1,12.5,"5160.47262532578",5,0.625
"180",2004,"Belarus",8,1,12.5,"8482.92020173857",4,0.5
"181",2004,"FYR Macedonia",8,1,12.5,NA,11,1.375
"182",2004,"Andorra",8,0,0,"42717.2377748966",1,0.125
"183",2004,"Faroe Islands",8,0,0,"..",7,0.875
"184",2004,"Liechtenstein",8,0,0,"..",2,0.25
"185",2004,"Luxembourg",8,0,0,"64694.4334161028",0,0
"186",2004,"Malta",8,0,0,"21568.3930824102",5,0.625
"187",2004,"Northern Ireland",8,0,0,NA,0,0
"188",2004,"San Marino",8,0,0,"61113.9018669325",0,0
"189",2008,"Spain",18,15,83.3333333333333,"33349.942580613",35,1.94444444444444
"190",2008,"Croatia",16,12,75,"21019.2829299894",32,2
"191",2008,"Netherlands",16,11,68.75,"46714.3454301392",25,1.5625
"192",2008,"Czechia",15,10,66.6666666666667,"27937.841568102",31,2.06666666666667
"193",2008,"Germany",18,12,66.6666666666667,"38443.5386278958",45,2.5
"194",2008,"Greece",15,10,66.6666666666667,"30440.9709059081",26,1.73333333333333
"195",2008,"Scotland",12,8,66.6666666666667,NA,21,1.75
"196",2008,"Italy",16,10,62.5,"35653.8378718715",25,1.5625
"197",2008,"Romania",15,9,60,"16781.6418061126",27,1.8
"198",2008,"Sweden",15,9,60,"41906.6990173542",26,1.73333333333333
"199",2008,"Turkiye",5,3,60,"16038.2956212622",7,1.4
"200",2008,"Russia",17,10,58.8235294117647,NA,23,1.35294117647059
"201",2008,"Bulgaria",12,7,58.3333333333333,"14346.5140844658",18,1.5
"202",2008,"England",12,7,58.3333333333333,NA,24,2
"203",2008,"Israel",12,7,58.3333333333333,"27997.6148169285",20,1.66666666666667
"204",2008,"Norway",12,7,58.3333333333333,"62072.7539854909",27,2.25
"205",2008,"Türki̇ye",12,7,58.3333333333333,NA,25,2.08333333333333
"206",2008,"France",15,8,53.3333333333333,"35053.2627069116",26,1.73333333333333
"207",2008,"Denmark",12,6,50,"41467.3861879777",21,1.75
"208",2008,"Northern Ireland",12,6,50,NA,17,1.41666666666667
"209",2008,"Portugal",18,9,50,"26665.8372952939",31,1.72222222222222
"210",2008,"Poland",17,8,47.0588235294118,"18372.37645483",25,1.47058823529412
"211",2008,"Finland",14,6,42.8571428571429,"40081.2212482066",13,0.928571428571429
"212",2008,"Serbia",14,6,42.8571428571429,"13122.1967850152",22,1.57142857142857
"213",2008,"Lithuania",12,5,41.6666666666667,"20735.7500527192",11,0.916666666666667
"214",2008,"Slovakia",12,5,41.6666666666667,NA,33,2.75
"215",2008,"Ukraine",12,5,41.6666666666667,"9323.72265625",18,1.5
"216",2008,"Belgium",14,5,35.7142857142857,"37883.3319417819",14,1
"217",2008,"Belarus",12,4,33.3333333333333,"13886.1314048183",17,1.41666666666667
"218",2008,"Bosnia and Herzegovina",12,4,33.3333333333333,"8586.55921886472",16,1.33333333333333
"219",2008,"Cyprus",12,4,33.3333333333333,"34829.26953125",17,1.41666666666667
"220",2008,"FYR Macedonia",12,4,33.3333333333333,NA,12,1
"221",2008,"Hungary",12,4,33.3333333333333,"20721.5024106144",11,0.916666666666667
"222",2008,"Latvia",12,4,33.3333333333333,"18634.795716608",15,1.25
"223",2008,"Republic of Ireland",12,4,33.3333333333333,NA,17,1.41666666666667
"224",2008,"Switzerland",3,1,33.3333333333333,"53808.7841127066",3,1
"225",2008,"Wales",12,4,33.3333333333333,NA,18,1.5
"226",2008,"Georgia",12,3,25,"7278.66312182282",16,1.33333333333333
"227",2008,"Moldova",12,3,25,"6153.35152138081",12,1
"228",2008,"Slovenia",12,3,25,"29460.9414243515",9,0.75
"229",2008,"Albania",12,2,16.6666666666667,"8228.13188671656",12,1
"230",2008,"Estonia",12,2,16.6666666666667,"22803.5194742273",5,0.416666666666667
"231",2008,"Iceland",12,2,16.6666666666667,"43728.1140564123",10,0.833333333333333
"232",2008,"Liechtenstein",12,2,16.6666666666667,"..",9,0.75
"233",2008,"Armenia",14,2,14.2857142857143,"7827.316667339",4,0.285714285714286
"234",2008,"Kazakhstan",14,2,14.2857142857143,"17278.4721678366",11,0.785714285714286
"235",2008,"Luxembourg",12,1,8.33333333333333,"90970.7211980147",2,0.166666666666667
"236",2008,"Malta",12,1,8.33333333333333,"26653.2205495102",10,0.833333333333333
"237",2008,"Azerbaijan",14,1,7.14285714285714,"12972.4427129521",6,0.428571428571429
"238",2008,"Andorra",12,0,0,"44838.9949993515",2,0.166666666666667
"239",2008,"Austria",3,0,0,"41046.7900352112",1,0.333333333333333
"240",2008,"Faroe Islands",12,0,0,"41160.1085094083",4,0.333333333333333
"241",2008,"San Marino",12,0,0,"71723.6242175711",2,0.166666666666667
"242",2012,"Germany",15,14,93.3333333333333,"44229.3941921739",44,2.93333333333333
"243",2012,"Spain",14,13,92.8571428571429,"31869.7839822219",38,2.71428571428571
"244",2012,"Netherlands",13,9,69.2307692307692,"47653.3401651371",39,3
"245",2012,"Sweden",13,9,69.2307692307692,"45206.9864434727",36,2.76923076923077
"246",2012,"Italy",16,11,68.75,"36678.1175205307",23,1.4375
"247",2012,"Denmark",11,7,63.6363636363636,"44755.1624273018",19,1.72727272727273
"248",2012,"Norway",8,5,62.5,"65774.3520746224",10,1.25
"249",2012,"Russia",13,8,61.5384615384615,NA,22,1.69230769230769
"250",2012,"Croatia",15,9,60,"21619.0742521866",25,1.66666666666667
"251",2012,"Hungary",10,6,60,"23267.448392909",22,2.2
"252",2012,"Portugal",15,9,60,"26476.2182777269",33,2.2
"253",2012,"England",12,7,58.3333333333333,NA,22,1.83333333333333
"254",2012,"Czechia",14,8,57.1428571428571,"29465.6074011894",19,1.35714285714286
"255",2012,"Greece",14,8,57.1428571428571,"24582.9741957507",19,1.35714285714286
"256",2012,"Armenia",10,5,50,"8942.63537897164",22,2.2
"257",2012,"Bosnia and Herzegovina",12,6,50,"10120.6196427647",19,1.58333333333333
"258",2012,"France",14,7,50,"37671.0239268565",18,1.28571428571429
"259",2012,"Israel",10,5,50,"32401.0184944083",13,1.3
"260",2012,"Republic of Ireland",15,7,46.6666666666667,NA,21,1.4
"261",2012,"Estonia",12,5,41.6666666666667,"26242.5282659014",16,1.33333333333333
"262",2012,"Türki̇ye",12,5,41.6666666666667,NA,13,1.08333333333333
"263",2012,"Belgium",10,4,40,"42483.5250666788",21,2.1
"264",2012,"Serbia",10,4,40,"14505.430496874",13,1.3
"265",2012,"Slovakia",10,4,40,NA,7,0.7
"266",2012,"Slovenia",10,4,40,"28786.7105517686",11,1.1
"267",2012,"Scotland",8,3,37.5,NA,9,1.125
"268",2012,"Switzerland",8,3,37.5,"59440.9158607666",12,1.5
"269",2012,"Wales",8,3,37.5,NA,6,0.75
"270",2012,"Ukraine",3,1,33.3333333333333,"9552.314453125",2,0.666666666666667
"271",2012,"Austria",10,3,30,"46156.4832073037",16,1.6
"272",2012,"Belarus",10,3,30,"18114.7508606707",8,0.8
"273",2012,"Finland",10,3,30,"40739.1131809421",16,1.6
"274",2012,"Latvia",10,3,30,"20494.0869665534",9,0.9
"275",2012,"Moldova",10,3,30,"7254.66249032313",12,1.2
"276",2012,"Montenegro",10,3,30,"13863.1832369662",7,0.7
"277",2012,"Romania",10,3,30,"19806.4895964286",13,1.3
"278",2012,"Albania",10,2,20,"10525.7225348883",7,0.7
"279",2012,"Azerbaijan",10,2,20,"15994.1466501836",10,1
"280",2012,"FYR Macedonia",10,2,20,NA,8,0.8
"281",2012,"Georgia",10,2,20,"10059.9820603954",7,0.7
"282",2012,"Northern Ireland",10,2,20,NA,9,0.9
"283",2012,"Bulgaria",8,1,12.5,"16326.4315317425",3,0.375
"284",2012,"Iceland",8,1,12.5,"42004.4476110597",6,0.75
"285",2012,"Liechtenstein",8,1,12.5,"..",3,0.375
"286",2012,"Lithuania",8,1,12.5,"24578.2392037146",4,0.5
"287",2012,"Faroe Islands",10,1,10,"46196.8428244531",6,0.6
"288",2012,"Kazakhstan",10,1,10,"21367.2180595372",6,0.6
"289",2012,"Luxembourg",10,1,10,"96636.426643956",3,0.3
"290",2012,"Andorra",10,0,0,"45503.0444835288",1,0.1
"291",2012,"Cyprus",8,0,0,"31922.306640625",7,0.875
"292",2012,"Malta",10,0,0,"30714.5361061141",4,0.4
"293",2012,"Poland",3,0,0,"23728.1456821435",2,0.666666666666667
"294",2012,"San Marino",10,0,0,"51274.2154785964",0,0
"295",2016,"England",14,11,78.5714285714286,NA,35,2.5
"296",2016,"Spain",14,11,78.5714285714286,"37591.7431945534",28,2
"297",2016,"Portugal",15,11,73.3333333333333,"31589.2695609552",18,1.2
"298",2016,"France",7,5,71.4285714285714,"42880.2351355429",13,1.85714285714286
"299",2016,"Austria",13,9,69.2307692307692,"52397.8635176673",23,1.76923076923077
"300",2016,"Germany",16,11,68.75,"51569.9016841198",31,1.9375
"301",2016,"Belgium",15,10,66.6666666666667,"48414.5518065681",33,2.2
"302",2016,"Italy",15,10,66.6666666666667,"40140.5036102244",22,1.46666666666667
"303",2016,"Wales",16,10,62.5,NA,21,1.3125
"304",2016,"Poland",15,9,60,"28359.6927346266",37,2.46666666666667
"305",2016,"Croatia",14,8,57.1428571428571,"25803.6870128263",25,1.78571428571429
"306",2016,"Slovakia",14,8,57.1428571428571,NA,20,1.42857142857143
"307",2016,"Switzerland",14,8,57.1428571428571,"67350.7518747757",27,1.92857142857143
"308",2016,"Czechia",13,7,53.8461538461538,"36445.0485732064",21,1.61538461538462
"309",2016,"Iceland",15,8,53.3333333333333,"53480.3971946764",25,1.66666666666667
"310",2016,"Northern Ireland",14,7,50,NA,18,1.28571428571429
"311",2016,"Norway",12,6,50,"59280.1992028829",14,1.16666666666667
"312",2016,"Türki̇ye",10,5,50,NA,14,1.4
